credit,sex,edu,marriage,age,isPay1,isPay2,bill1,bill2,payAmt1,payAmt1,target_variable
320000,2,2,1,35,0,0,4050,4914,1073,1789,0
70000,1,2,2,31,0,0,101284,71451,2864,2501,0
10000,2,1,1,23,0,0,7641,8557,1262,1000,0
280000,2,2,2,25,1,2,6714,4526,22,4277,0
80000,1,3,2,24,1,-1,0,832,1248,416,0
390000,2,1,2,30,0,0,7650,8500,3031,2010,0
360000,2,1,2,32,0,0,290543,118479,7288,6079,0
100000,2,3,1,58,0,0,96821,98389,3589,3656,0
230000,2,1,2,29,0,0,33988,32803,2500,3007,0
50000,1,2,1,49,0,0,46693,14453,1158,1010,0
290000,2,1,2,32,-2,-2,0,5743,5743,5000,0
300000,1,2,1,46,-1,-1,1413,15393,15480,0,0
60000,2,1,1,38,-1,-1,6842,15772,15772,23011,0
140000,2,3,2,26,0,0,93384,93443,3514,3000,0
160000,1,1,2,34,-2,-2,0,150,150,1397,0
120000,2,2,1,31,1,2,21134,20502,0,5000,1
80000,1,3,2,28,1,2,38151,39227,2000,0,1
240000,2,1,2,37,-2,-2,660,31187,31187,1280,0
