Year,target_variable,Department,Job,Employee Identifier,Salaries,Overtime,Other Salaries,Total Salary,Retirement,Health/Dental,Other Benefits,Total Benefits,Total Compensation
2016,Community Health,Public Health,Laboratory Technician II,8499,67719.41,80.27,628.8,68428.48,12719.61,13068.8,5532.93,31321.34,99749.82
2014,Public Protection,Adult Probation,Deputy Probation Officer,5713,77008.39,0,0,77008.39,13159.18,12081.86,1239.78,26480.82,103489.21
2014,General Administration & Finance,Controller,Clerk Typist,43809,54443,0,624,55067,12927.96,13054.94,4549.95,30532.85,85599.85
2016,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Wire Rope Cable Maint Mechanic,18137,87943.11,31836.83,13538.87,133318.81,18002.8,12619.88,9632.61,40255.29,173574.1
2015,Human Welfare & Neighborhood Development,Environment,Environmental Spec,32837,40712.42,0,0,40712.42,8104.01,5876.09,2770.03,16750.13,57462.55
2015,General Administration & Finance,Assessor/Recorder,Asr-Office Assistant,40445,24934.01,0,0,24934.01,6432.93,6212.25,2025.7,14670.88,39604.89
2014,Public Protection,Superior Court,Superior Court Judge,13045,9463.59,0,4743.22,14206.81,0,0,206,206,14412.81
2016,Public Protection,Police,Criminalist II,23091,116558.42,5078.62,0,121637.04,21132.06,13081.28,9808.16,44021.5,165658.54
2016,General Administration & Finance,General Services Agency - Technology,Storekeeper,1218,57592.8,0,596.24,58189.04,10828.97,12391.67,4793.69,28014.33,86203.37
2014,Culture & Recreation,Recreation and Park Commission,Swimming Instr/Pool Lifeguard,40881,44982.72,262.87,3104.64,48350.23,10737.25,11136.86,3920.32,25794.43,74144.66
2015,Community Health,Public Health,Food Service Supervisor,47431,8773.6,20.19,573.77,9367.56,0,2107.37,725.23,2832.6,12200.16
2013,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Janitorial Svcs Asst Sprv,27656,69654.06,9398.77,1432.5,80485.33,12797.72,12801.79,6692.5,32292.01,112777.34
2013,"Public Works, Transportation & Commerce",Port,Sign Worker,24664,244.2,0,0,244.2,44.47,49.23,20.46,114.16,358.36
2015,General Administration & Finance,Retirement System,Dep Dir IV,24796,240727,0,0,240727,48347.77,12424.5,20116.59,80888.86,321615.86
2013,Community Health,Public Health,Med Staff Svcs Dept Anl,45287,86424.04,0,0,86424.04,16988.34,12918.24,6969.56,36876.14,123300.18
2015,Human Welfare & Neighborhood Development,Human Services,Employment & Training Spec 3,36961,67486.11,0,510.81,67996.92,15251.72,10193.64,5690.45,31135.81,99132.73
2014,Public Protection,Police,Automotive Service Worker,19334,63661,0,0,63661,13912.62,13054.94,5256.97,32224.53,95885.53
2013,"Public Works, Transportation & Commerce",Airport Commission,Survey Assistant II,23348,82899.51,0,56.54,82956.05,16306.41,12918.31,6829.66,36054.38,119010.43
2016,"Public Works, Transportation & Commerce",PUC Water Department,Biologist I/II,12580,100589.32,1161.9,0,101751.22,18719.76,13068.8,8324.06,40112.62,141863.84
2016,"Public Works, Transportation & Commerce",PUC Water Department,Engineering Associate 1,13205,85229.32,0,0,85229.32,15861.18,13068.79,6813,35742.97,120972.29
2013,"Public Works, Transportation & Commerce",PUC Public Utilities Commission,Sr Payroll & Personnel Clerk,3154,73899.02,51.32,0,73950.34,14521.06,12918.24,5871.99,33311.29,107261.63
2013,Community Health,Public Health,Nursing Supervisor Psychiatric,16247,199360,0,37213.12,236573.12,42006.02,12918.25,11460.63,66384.9,302958.02
2014,General Administration & Finance,General Services Agency - Technology,Communications Systems Tech,41908,108971.53,12618.49,623.15,122213.17,23407.76,13037.18,9684.25,46129.19,168342.36
2014,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Transit Car Cleaner,30930,50545.2,5503.72,6233.43,62282.35,13757.79,13054.94,5002.93,31815.66,94098.01
2014,"Public Works, Transportation & Commerce",Municipal Transportation Agency,"Manager II, MTA",19290,105779.09,0,0,105779.09,22593.4,13054.94,16587.72,52236.06,158015.15
2013,Community Health,Public Health,Medical Records Clerk,22573,17272.5,0,6668.84,23941.34,3178.12,3692.82,1977.03,8847.97,32789.31
2014,Public Protection,Sheriff,Senior Legal Process Clerk,35880,51324.83,847.15,307.2,52479.18,12738.8,12353.56,4318.11,29410.47,81889.65
2014,Culture & Recreation,Recreation and Park Commission,Swimming Instructor,22293,1614,0,1.61,1615.61,0,514.67,408.49,923.16,2538.77
2015,General Administration & Finance,Assessor/Recorder,Senior Real Property Appraiser,51033,78997.74,0,1000,79997.74,17943.46,10908.05,6964.91,35816.42,115814.16
2015,Human Welfare & Neighborhood Development,Human Services,Emp & Training Spec 2,33357,81776.04,0,2219,83995.04,17308.05,12424.51,6311.69,36044.25,120039.29
2015,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Transit Supervisor,47754,26936,2306.03,2212.75,31454.78,5160.79,4348.58,2672.56,12181.93,43636.71
2014,"Public Works, Transportation & Commerce",Airport Commission,Airport Property Specialist 1,36074,100830.07,0,0,100830.07,21496.99,12512.55,7830.91,41840.45,142670.52
2015,"Public Works, Transportation & Commerce",General Services Agency - Public Works,Accountant III,19062,74598.03,0,1030,75628.03,15454.04,11468.77,5764.53,32687.34,108315.37
2014,Human Welfare & Neighborhood Development,Human Rights Commission,"Bdcomm Mbr, Grp3,M=$50/Mtg",37084,600,0,0,600,0,75.32,46.46,121.78,721.78
2015,Community Health,Public Health,Health Educator,26181,92828.75,0,280,93108.75,20884.26,12488.58,7483.76,40856.6,133965.35
2015,"Public Works, Transportation & Commerce",PUC Wastewater Enterprise,Maintenance Planner,48152,109323.35,0,2176.58,111499.93,25009.4,12500.56,9149.55,46659.51,158159.44
2014,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Asst Engr,49087,81555.6,0,0,81555.6,17387.67,12272.82,6578.01,36238.5,117794.1
2013,"Public Works, Transportation & Commerce",General Services Agency - Public Works,Asphalt Finisher Supervisor 1,15273,51212,495.6,14923.76,66631.36,9325.72,7631.83,5820.77,22778.32,89409.68
2014,Public Protection,Police,Inspector 3,7895,132484.13,22717.21,33304.99,188506.33,28424.85,11937.25,396.08,40758.18,229264.51
2014,"Public Works, Transportation & Commerce",PUC Water Department,Watershed Keeper,50364,60000.6,2702.9,2920.02,65623.52,12922.46,11206.53,5965.55,30094.54,95718.06
2013,"Public Works, Transportation & Commerce",PUC Public Utilities Commission,"Stdntdsgntrain3, Arch/Eng/Plng",17757,8512,0,0,8512,0,1969.51,659,2628.51,11140.51
2014,"Public Works, Transportation & Commerce",PUC Public Utilities Commission,Utility Analyst,18477,767,14.38,0,781.38,0,251.06,60.49,311.55,1092.93
2014,Community Health,Public Health,Manager VII,16445,195403.37,0,0,195403.37,40683.04,12512.55,16014.23,69209.82,264613.19
2015,General Administration & Finance,General Services Agency - Technology,Cable Splicer,45125,46278.38,0,0,46278.38,0,0,3660.91,3660.91,49939.29
2015,Community Health,Public Health,Pharmacy Helper,29441,59059.9,447.02,0,59506.92,13247.17,12403.26,4748.74,30399.17,89906.09
2014,Community Health,Public Health,Physician Specialist,45783,130960.6,0,0,130960.6,27897.05,9540.15,9774.67,47211.87,178172.47
2014,General Administration & Finance,City Planning,Planner Technician,13620,32552.51,0,0,32552.51,1558.83,8284.87,2487.43,12331.13,44883.64
2015,Public Protection,Superior Court,Deputy Court Clerk II,2406,73694.06,0,3617.98,77312.04,15325.16,12304.62,6425.25,34055.03,111367.07
2014,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Snr Permit And Citation Clerk,20740,71818.51,0,0,71818.51,15311.7,12512.55,5699.59,33523.84,105342.35
2014,"Public Works, Transportation & Commerce",Airport Commission,Offset Machine Operator,30587,59652.63,0,0,59652.63,12717.97,12512.55,4922.12,30152.64,89805.27
2016,Public Protection,Fire Department,EMT Paramedic,20885,12588.88,21.33,0,12610.21,0,1821.71,978.76,2800.47,15410.68
2015,Community Health,Public Health,Medical Records Technician,10356,71612,0,612,72224,14885.78,12424.5,5936.43,33246.71,105470.71
2015,Public Protection,Superior Court,Senior Fiscal Technician,5378,7863.88,0,0,7863.88,0,0,824.95,824.95,8688.83
2016,"Public Works, Transportation & Commerce",Airport Commission,Executive Secretary 1,17187,75996.93,220.65,628.8,76846.38,14260.14,13068.8,6162.16,33491.1,110337.48
2014,General Administration & Finance,Mayor,Mayoral Staff XVI,45974,142911.3,0,0,142911.3,30525.07,13054.93,18484.55,62064.55,204975.85
2016,"Public Works, Transportation & Commerce",General Services Agency - Public Works,Sheet Metal Worker,51113,48556.55,290.48,520,49367.03,1640.58,6160.27,3857.89,11658.74,61025.77
2016,"Public Works, Transportation & Commerce",Economic and Workforce Development,Community Development Spec,12367,74503.82,0,0,74503.82,13865.15,13068.81,5987.1,32921.06,107424.88
2015,General Administration & Finance,General Services Agency - City Admin,Asst Materials Coordinator,9455,35192.3,123.34,0,35315.64,7893.61,5124.74,2834.56,15852.91,51168.55
2013,General Administration & Finance,General Services Agency - City Admin,Contract Compliance Officer 2,176,100777.45,0,1405,102182.45,18096.56,11570.85,8405.89,38073.3,140255.75
2013,Community Health,Public Health,Accountant Intern,25773,39546,0,1207.25,40753.25,7201.26,8370.4,3311.89,18883.55,59636.8
2013,Community Health,Public Health,Nurse Midwife,27020,13312.35,0,0,13312.35,0,0,1051.68,1051.68,14364.03
2013,"Public Works, Transportation & Commerce",General Services Agency - Public Works,Bricklayer,40219,86037.6,15836.61,3000,104874.21,17478.58,11961.35,8595.07,38035,142909.21
2015,General Administration & Finance,General Services Agency - Technology,Media Production Tech,21055,54117.01,541.18,728.01,55386.2,11573.7,10035.18,4977.15,26586.03,81972.23
2015,Human Welfare & Neighborhood Development,Human Services,Principal Account Clerk,37395,75161.27,0,0,75161.27,16858.66,12506.54,6183.37,35548.57,110709.84
2015,"Public Works, Transportation & Commerce",PUC Public Utilities Commission,Meter Reader,12049,64280.9,0,0,64280.9,14418.25,12500.56,5241.74,32160.55,96441.45
2013,Community Health,Public Health,Health Worker 2,41411,31792.17,64.38,1160,33016.55,6468.22,6867.31,2693.46,16028.99,49045.54
2015,"Public Works, Transportation & Commerce",PUC Hetch Hetchy,General Utility Mechanic,12795,86430.11,1001.7,600,88031.81,19520.89,12500.57,7104.61,39126.07,127157.88
2013,"Public Works, Transportation & Commerce",Port,Crane Mechanic Supervisor,53741,111020,4789.09,160.13,115969.22,19661.72,12801.79,9576.54,42040.05,158009.27
2014,"Public Works, Transportation & Commerce",PUC Water Department,Pipe Welder,52728,97557,15213.72,0,112770.72,21320.42,13054.92,8804.35,43179.69,155950.41
2013,Community Health,Public Health,"Marriage, Family & Child Cnslr",35104,83786.16,0,0,83786.16,15257.53,12281.73,7029.83,34569.09,118355.25
2013,"Public Works, Transportation & Commerce",General Services Agency - Public Works,Painter Supervisor 1,3322,89596.06,5224.08,2,94822.14,16318.06,12801.72,7677.65,36797.43,131619.57
2015,Public Protection,Department of Emergency Management,Manager III,42913,142527.36,0,0,142527.36,31270.49,12500.56,18697.46,62468.51,204995.87
2013,"Public Works, Transportation & Commerce",Airport Commission,Plumber,13777,98528.5,10576.9,4379.55,113484.95,20225.03,12918.24,9145.21,42288.48,155773.43
2015,Public Protection,Sheriff,Deputy Sheriff (SFERS),48295,82259.71,16823.61,9465.6,108548.92,18217.04,12424.51,1802.58,32444.13,140993.05
2016,Culture & Recreation,Recreation and Park Commission,Apprentice Gardener,47477,33825.57,174.8,107.07,34107.44,7461.76,10778.46,2773.24,21013.46,55120.9
2013,"Public Works, Transportation & Commerce",Port,Ornamental Iron Wrk Sprv 1,34491,97760,1551,0,99311,17802.2,12801.79,8072.3,38676.29,137987.29
2014,"Public Works, Transportation & Commerce",PUC Water Department,Utility Plumber,34143,96446.4,13763.75,10354.02,120564.17,20562.4,12512.56,8324.04,41399,161963.17
2015,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Stdntdsgn Train2/Arch/Eng/Plng,2675,3454.73,0,0,3454.73,291.53,766.09,267.46,1325.08,4779.81
2013,"Public Works, Transportation & Commerce",Port,IS Business Analyst-Senior,37476,25960,0,0,25960,2767.33,3827.63,2037.02,8631.98,34591.98
2016,Community Health,Public Health,Health Program Coordinator 3,25718,111962.73,0,0,111962.73,20298.79,13068.8,8908.32,42275.91,154238.64
2013,Public Protection,District Attorney,Da Investigative Assist,16217,65898.8,0,0,65898.8,12000.09,12801.79,5188,29989.88,95888.68
2013,Community Health,Public Health,Diagnostic Imaging Tech IV,14476,121531.33,0,844.31,122375.64,23382.92,12844.5,9516.33,45743.75,168119.39
2013,General Administration & Finance,Elections,Dep Dir II,2410,0,0,10528.05,10528.05,0,0,805.4,805.4,11333.45
2015,Public Protection,Department of Emergency Management,Pub Safety Communication Coord,24514,17123.8,2603.75,3531.65,23259.2,3365.36,1875.63,1870.42,7111.41,30370.61
2015,Public Protection,Superior Court,"Research Asst, Superior Court",32657,75844.77,0,0,75844.77,14834.76,12471.04,5694.52,33000.32,108845.09
2013,"Public Works, Transportation & Commerce",PUC Public Utilities Commission,Project Manager 3,1651,22221.5,0,0,22221.5,3935.43,1723.32,1845.97,7504.72,29726.22
2016,Public Protection,Superior Court,Deputy Court Clerk III,15772,88830.07,0,5325.77,94155.84,16648.05,13047.49,7509.8,37205.34,131361.18
2015,Human Welfare & Neighborhood Development,Environment,Principal Environ Specialist,1660,2096.54,0,19543.5,21640.04,0,227.5,1644.04,1871.54,23511.58
2014,Culture & Recreation,Recreation and Park Commission,Pool Lifeguard,13541,610.32,0,5.58,615.9,0,219.67,81.55,301.22,917.12
2015,"Public Works, Transportation & Commerce",Airport Commission,Housekeeper/Food Service Clnr,33482,49679,0,4253.13,53932.13,12560.4,12424.5,4308.89,29293.79,83225.92
2013,Human Welfare & Neighborhood Development,Child Support Services,Child Support Officer II,9497,73294.04,0,624,73918.04,13460.47,12801.79,6191.39,32453.65,106371.69
2014,Community Health,Public Health,Environmental Health Inspector,40649,104451.13,0,615.2,105066.33,22964.68,13054.94,8040.17,44059.79,149126.12
2013,Community Health,Public Health,Psychiatric Social Worker,8924,90525.05,0,5115.97,95641.02,18081.09,12894.32,7892.41,38867.82,134508.84
2013,"Public Works, Transportation & Commerce",PUC Public Utilities Commission,Dep Dir V,30846,72584.41,0,0,72584.41,0,4148.27,5245.74,9394.01,81978.42
2013,General Administration & Finance,City Planning,Planner 3-Environmental Review,19561,81279.36,0,0,81279.36,14800.97,11366.2,6506.02,32673.19,113952.55
2013,"Public Works, Transportation & Commerce",PUC Public Utilities Commission,Utility Specialist,951,48398.21,0,1839.76,50237.97,8585.97,5182.28,3862.69,17630.94,67868.91
2015,General Administration & Finance,City Attorney,Legislative Asst City Atty Ofc,41091,33719,0,0,33719,7563.2,6417.91,2633,16614.11,50333.11
2014,Community Health,Public Health,Health Care Billing Clerk 2,20668,55202.48,0,0,55202.48,11769.18,10156.74,5165.83,27091.75,82294.23
2013,"Public Works, Transportation & Commerce",PUC Hetch Hetchy,Transmission Line Supervisor 1,37413,117347.52,26780.89,15906.59,160035,22534.26,12870.41,10143.84,45548.51,205583.51
2015,Public Protection,Superior Court,Court Reporter,26864,113672,0,11367.2,125039.2,27433.64,12452.66,9862.97,49749.27,174788.47
2014,Public Protection,Adult Probation,"Div Director, Adult Probation",45556,120566.74,0,0,120566.74,20602.37,12512.55,10470.15,43585.07,164151.81
2015,"Public Works, Transportation & Commerce",General Services Agency - Public Works,Senior Const Inspector,41945,26358,0,0,26358,4905.24,2867.2,1986.42,9758.86,36116.86
2014,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Maintenance Machinist,11009,80938.8,20485.2,3339.1,104763.1,17373.48,12512.54,7983.53,37869.55,142632.65
2013,Community Health,Public Health,Physical Therapist,42859,104936,0,440,105376,18662.16,12801.79,8635.96,40099.91,145475.91
2014,"Public Works, Transportation & Commerce",General Services Agency - Public Works,Architectural Assistant 2,7136,84898.03,967.8,0,85865.83,18555.18,13054.91,6930.22,38540.31,124406.14
2015,Community Health,Public Health,Health Worker 3,35560,31007.5,0,0,31007.5,5948.25,6929.06,2494.24,15371.55,46379.05
2014,Human Welfare & Neighborhood Development,Human Services,Senior Social Worker,44496,2249,0,0,2249,406.84,0,177.67,584.51,2833.51
2015,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Planner 1,1480,9256,0,0,9256,0,1915.8,745.52,2661.32,11917.32
2014,General Administration & Finance,City Attorney,Junior Management Assistant,29575,9487.09,0,0,9487.09,2022.64,2099.8,762.76,4885.2,14372.29
2013,"Public Works, Transportation & Commerce",PUC Public Utilities Commission,Emergency Planning Coordinator,13397,6452,0,14343.6,20795.6,1174.9,956.91,1633.96,3765.77,24561.37
2013,Community Health,Public Health,Senior Telephone Operator,47402,24083.37,9570.93,2053.16,35707.46,4463.8,5554.13,2917.94,12935.87,48643.33
2014,Human Welfare & Neighborhood Development,Human Services,Program Support Analyst,1918,5118.4,0,0,5118.4,1091.24,767.05,394.66,2252.95,7371.35
2015,General Administration & Finance,City Planning,Sr Community Dev Spec 2,2475,44220.02,0,0,44220.02,8229.35,4778.65,3616.28,16624.28,60844.3
2014,General Administration & Finance,Elections,Secretary 1,26251,4365.9,0,0,4365.9,0,1006.76,346.82,1353.58,5719.48
2014,Community Health,Public Health,Supervising Physician Spec,19760,111962.41,0,28973.45,140935.86,23310.55,6328.18,4605.66,34244.39,175180.25
2015,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Trans Safety Specialist,20797,104449.41,5945.58,13640.12,124035.11,24536.68,11542.66,8935.13,45014.47,169049.58
2015,General Administration & Finance,City Planning,Planner 2,5979,76444.33,0,0,76444.33,17146.48,12500.56,5953.68,35600.72,112045.05
2015,"Public Works, Transportation & Commerce",Airport Commission,Chief Stationary Engineer,22757,107538.61,2318.63,2180.56,112037.8,24610,12500.56,9211.06,46321.62,158359.42
2014,Public Protection,Fire Department,Pilot Of Fire Boats,7571,149531.78,33033.31,9719.63,192284.72,32285.38,15245.17,3098.45,50629,242913.72
2014,Human Welfare & Neighborhood Development,Human Services,Dep Dir III,11417,115905.49,0,0,115905.49,24131.54,9396.39,13333.63,46861.56,162767.05
2013,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Track Maint Wrk Sprv 1,22733,80262.02,14701.86,94,95057.88,14615.64,12801.79,7787.46,35204.89,130262.77
2015,Community Health,Public Health,Epidemiologist 1,11152,32901.01,0,0,32901.01,6190.79,6116.67,2632.5,14939.96,47840.97
2013,Human Welfare & Neighborhood Development,Environment,Environmental Assistant,29022,66021.62,0,0,66021.62,12952.9,12631.17,5325.53,30909.6,96931.22
2016,"Public Works, Transportation & Commerce",Airport Commission,Lighting Fixture Maint Worker,22446,57810.2,882.75,5781.02,64473.97,11834.22,13068.8,5227.53,30130.55,94604.52
2013,Public Protection,Police,Sergeant 2,15175,3257.5,0,276.22,3533.72,580.39,307.73,59.98,948.1,4481.82
2015,Culture & Recreation,Public Library,Library Technical Assistant 1,48378,72699.07,0,1584,74283.07,15307.81,12424.5,5774.41,33506.72,107789.79
2014,Community Health,Public Health,Psychiatric Technician,25486,58416.8,0,758.35,59175.15,12459.53,11218.75,4815.52,28493.8,87668.95
2015,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Traf Signal Electrician Sup I,27547,120163.02,10605.92,8806.37,139575.31,24182.87,12424.5,10114.77,46722.14,186297.45
2014,Public Protection,Sheriff,Sheriff's Cadet,43104,34127.41,27.51,523.48,34678.4,8476.26,11025.91,2767.08,22269.25,56947.65
2015,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Transit Power Line Worker,19176,70308,50090.9,7685.47,128084.37,14917.83,8601.58,9683.19,33202.6,161286.97
2016,Human Welfare & Neighborhood Development,Human Services,Social Work Specialist,43426,87494.04,5021.92,26269.5,118785.46,16282.59,13068.8,9617.57,38968.96,157754.42
2014,"Public Works, Transportation & Commerce",PUC Water Department,Materials Coordinator,23940,0,0,198.53,198.53,0,0,15.19,15.19,213.72
2016,Community Health,Public Health,Public Health Nurse,40913,122983.54,0,1375,124358.54,22500.87,13068.79,9827.7,45397.36,169755.9
2013,Community Health,Public Health,Locksmith,9429,81276.02,14770.38,3473.18,99519.58,15262,12801.79,8166.95,36230.74,135750.32
2013,Community Health,Public Health,Nursing Supervisor,12144,26173.37,0,2574.57,28747.94,4728.47,0,7244.53,11973,40720.94
2014,Human Welfare & Neighborhood Development,Human Services,IS Engineer-Senior,2386,127304.46,0,1840,129144.46,26887.88,12512.55,9421.32,48821.75,177966.21
2014,General Administration & Finance,Elections,Elections Worker,47852,44930.51,1411.45,678.9,47020.86,9741.19,9742,3895.46,23378.65,70399.51
2015,General Administration & Finance,Health Service System,Benefits Analyst,48229,72930.8,0,601.93,73532.73,15162.87,11984.93,5649.09,32796.89,106329.62
2015,Public Protection,Fire Department,Incident Support Specialist,40174,122219.76,9849.73,15758.09,147827.58,29671.22,13111.41,2502.77,45285.4,193112.98
2013,General Administration & Finance,City Attorney,Assistant Chief Attorney 1,5011,37870,0,312.5,38182.5,7949.61,2392.26,726.15,11068.02,49250.52
2015,"Public Works, Transportation & Commerce",PUC Wastewater Enterprise,"Sr Stationary Eng, Sew Plant",7237,102054.5,7413.67,6958.05,116426.22,23888.9,12332.92,9289.9,45511.72,161937.94
2016,Public Protection,Police,Lieutenant 3,27056,160150.11,73617.15,6575.49,240342.75,28411.45,12981.51,4054.15,45447.11,285789.86
2015,Community Health,Public Health,Pharmacy Technician,10460,4943.8,184.42,31.22,5159.44,1115.9,910.01,399.45,2425.36,7584.8
2014,Community Health,Public Health,Pr Environmental Hlth Insp,4825,52032.23,0,1871.91,53904.14,10833.09,5510.19,4201.8,20545.08,74449.22
2015,"Public Works, Transportation & Commerce",General Services Agency - Public Works,General Laborer Supervisor 1,13902,70791,20310.45,5036.17,96137.62,15629.17,12424.5,7864.43,35918.1,132055.72
2016,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Transit Planner 2,6437,86718.04,0,0,86718.04,16138.2,12376.71,6764.09,35279,121997.04
2014,Human Welfare & Neighborhood Development,Human Services,IT Operations Support Admin I,8718,59458.02,2119.58,0,61577.6,12994.19,13054.94,5053.2,31102.33,92679.93
2013,"Public Works, Transportation & Commerce",PUC Hetch Hetchy,Electr Maint Tech Asst Sprv,7119,2523.6,78.86,18022.18,20624.64,446.93,287.07,1584.3,2318.3,22942.94
2013,"Public Works, Transportation & Commerce",General Services Agency - Public Works,IS Project Director,29959,97983.01,0,0,97983.01,17352.71,9355.15,6761.15,33469.01,131452.02
2013,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Train Controller,2548,64857.3,15793.44,12881.56,93532.3,13113.48,8168.1,7872.49,29154.07,122686.37
2013,Culture & Recreation,Public Library,Librarian 2,50596,91206.12,0,0,91206.12,17921.79,12918.24,7543.99,38384.02,129590.14
2013,Public Protection,Fire Department,Assistant Deputy Chief 2,31246,177220.07,0,50042,227262.07,34524.2,9847.53,475.33,44847.06,272109.13
2014,General Administration & Finance,City Planning,Planner 4,50472,119805.61,0,0,119805.61,18309.02,12838.4,9297.17,40444.59,160250.2
2016,General Administration & Finance,Mayor,Mayoral Staff XV,21742,112727.37,0,0,112727.37,20437.53,13068.81,17797.39,51303.73,164031.1
2016,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Traffic Signal Electrician,12710,109619.3,6885.52,0,116504.82,20400.21,13068.78,9107.52,42576.51,159081.33
2014,General Administration & Finance,General Services Agency - City Admin,Animal Care Attendant,20717,48104.5,426.89,2520.88,51052.27,12227.99,12803.88,4120.33,29152.2,80204.47
2013,Community Health,Public Health,"Dir Of Act, Therapy & Vol Svcs",41651,86049.01,0,1988,88037.01,17300.38,12918.24,7274.18,37492.8,125529.81
2014,General Administration & Finance,Human Resources,"Manager,Employee Relations Div",8881,142826.02,0,0,142826.02,29736.4,11817.41,19273.44,60827.25,203653.27
2016,Community Health,Public Health,Health Care Analyst,22887,91237.62,0,0,91237.62,16979.34,13068.8,7283.37,37331.51,128569.13
2016,Culture & Recreation,Public Library,Illustrator And Art Designer,14828,85229.23,0,0,85229.23,15861.18,13068.8,6966.29,35896.27,121125.5
2015,Community Health,Public Health,Dietitian,4354,5516,0,0,5516,1026.52,955.73,439.26,2421.51,7937.51
2015,Public Protection,Fire Department,Fire Protection Engineer,51718,143321.77,0,0,143321.77,31444.83,12512.53,10457.89,54415.25,197737.02
2013,"Public Works, Transportation & Commerce",General Services Agency - Public Works,Landscape Architect Assoc 1,50968,45565.33,0,0,45565.33,7801.71,7521.04,3957.8,19280.55,64845.88
2013,Public Protection,Sheriff,Rehabilitation Svcs Coord,12191,84954.61,0,0,84954.61,15470.2,12745.17,7066.78,35282.15,120236.76
2015,Culture & Recreation,Recreation and Park Commission,Marina Associate Manager,46588,76567.74,0,441.9,77009.64,17174.21,12356.99,15267.94,44799.14,121808.78
2014,"Public Works, Transportation & Commerce",Municipal Transportation Agency,"Investigator,Taxi & Accesssvcs",11937,89022.33,0,0,89022.33,18979.59,12512.55,6852.71,38344.85,127367.18
2016,Community Health,Public Health,Nurses Staffing Assistant,1532,61264.73,221.43,3318.9,64805.06,12019.02,12935.07,5322.47,30276.56,95081.62
2016,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Parking Enforcement Admin,49,97837.17,22385.1,7408.39,127630.66,18207.55,13093.75,10079.5,41380.8,169011.46
2013,"Public Works, Transportation & Commerce",PUC Water Department,Utility Plumber Supervisor 2,15938,113038.73,17380.79,23602.06,154021.58,22600.82,11961.33,9950.36,44512.51,198534.09
2015,"Public Works, Transportation & Commerce",General Services Agency - Public Works,Communications Dispatcher 1,10884,47.03,0,0,47.03,0,11.94,3.65,15.59,62.62
2013,"Public Works, Transportation & Commerce",PUC Public Utilities Commission,Principal Personnel Analyst,5601,76228.43,0,0,76228.43,14602.55,7961.7,6155.16,28719.41,104947.84
2015,"Public Works, Transportation & Commerce",Airport Commission,Administrative Engineer,25621,144159.51,0,0,144159.51,31628.66,12500.56,10354.6,54483.82,198643.33
2013,General Administration & Finance,Human Resources,IS Business Analyst,2424,90837.88,0,0,90837.88,16541.54,12801.79,7447.7,36791.03,127628.91
2015,"Public Works, Transportation & Commerce",PUC Hetch Hetchy,Utility Plumber Apprentice,37546,36718.12,1895.94,0,38614.06,0,5626.85,3129.18,8756.03,47370.09
2016,"Public Works, Transportation & Commerce",Department of Building Inspection,Building Inspector,38535,115556.4,4661.11,2925.22,123142.73,20950.28,13068.8,9817.84,43836.92,166979.65
2015,"Public Works, Transportation & Commerce",General Services Agency - Public Works,Survey Assistant I,46593,26471,0,0,26471,0,5256.53,2128.09,7384.62,33855.62
2013,"Public Works, Transportation & Commerce",Airport Commission,Airport Electrician,28470,38730.02,10892.81,4612,54234.83,7017.08,4784.54,4441.17,16242.79,70477.62
2016,"Public Works, Transportation & Commerce",PUC Water Department,Automotive Machinist Sprv 1,45130,34338.32,0,20392.13,54730.45,6502.04,4140.12,4397.38,15039.54,69769.99
2016,"Public Works, Transportation & Commerce",PUC Public Utilities Commission,Senior Water Services Clerk,24497,26400.6,0,1043.96,27444.56,4955.45,4888.34,2266.6,12110.39,39554.95
2014,"Public Works, Transportation & Commerce",PUC Water Department,Senior Water Service Inspector,22171,108576.03,10246.33,19191.98,138014.34,25004.2,13054.94,10053.42,48112.56,186126.9
2014,Culture & Recreation,Recreation and Park Commission,Admission Attendant,6996,14881.21,0,0,14881.21,3699.9,4868.99,1201.71,9770.6,24651.81
2013,Human Welfare & Neighborhood Development,Human Rights Commission,"Coord, Human Rights Comm",32136,103714,0,0,103714,18886.4,12801.79,8617.22,40305.41,144019.41
2015,"Public Works, Transportation & Commerce",PUC Water Department,Carpenter,49312,86663.05,0,1110,87773.05,18093.63,12424.48,7025.14,37543.25,125316.3
2015,"Public Works, Transportation & Commerce",Port,Pile Worker,29583,95045.03,0,6082,101127.03,20810.81,12424.5,7736.45,40971.76,142098.79
